,r,g,b,c,dmx_ch_1
1594484998.2123551,14,120,46,187,64
1594484998.2854717,14,122,47,191,65
1594484998.3594167,15,125,48,195,66
1594484998.433427,15,125,48,195,67
1594484998.5056887,15,127,49,200,68
1594484998.5803192,15,131,51,205,69
1594484998.6553597,16,133,52,208,70
1594484998.7294292,16,132,51,207,71
1594484998.8014216,16,136,53,213,72
1594484998.8753588,17,140,54,219,73
1594484998.9494147,17,141,55,221,74
1594484999.02339,17,142,55,223,75
1594484999.0963926,17,145,57,228,76
1594484999.1704688,18,149,58,234,77
1594484999.2444437,18,150,58,235,78
1594484999.3168037,18,152,59,238,79
1594484999.3904,18,156,61,244,80
1594484999.4642627,19,158,61,248,81
1594484999.539387,19,159,62,250,82
1594484999.611464,19,163,64,256,83
1594484999.6862566,20,166,65,261,84
1594484999.761426,20,167,65,262,85
1594484999.8354475,20,171,67,268,86
1594484999.9083834,21,175,68,274,87
1594484999.9823813,21,174,68,273,88
1594485000.0572593,21,180,70,282,89
1594485000.131388,22,183,71,287,90
1594485000.2043762,22,184,72,289,91
1594485000.2780766,22,189,74,296,92
1594485000.3534,23,192,75,300,93
1594485000.4264033,23,193,75,302,94
1594485000.5004406,23,199,78,312,95
1594485000.57439,24,200,78,313,96
1594485000.6483324,24,204,80,320,97
1594485000.7203429,25,208,81,327,98
1594485000.7953992,25,210,82,330,99
1594485000.86943,25,214,84,336,100
1594485000.943469,26,217,85,340,101
1594485001.01748,26,222,87,348,102
1594485001.0914605,27,225,88,353,103
1594485001.1652963,27,228,89,358,104
1594485001.240442,28,233,91,366,105
1594485001.313378,28,234,91,368,106
1594485001.3873034,28,241,94,379,107
1594485001.462465,29,243,95,381,108
1594485001.5363514,29,249,97,391,109
1594485001.6093616,30,250,98,393,110
1594485001.6844318,30,257,100,403,111
1594485001.758326,30,258,101,405,112
1594485001.83065,31,265,104,416,113
1594485001.9044137,32,267,105,420,114
1594485001.978432,32,274,107,430,115
1594485002.0524383,33,276,108,434,116
1594485002.1253433,33,283,111,444,117
1594485002.200418,34,286,112,449,118
1594485002.2744431,34,291,114,458,119
1594485002.3474245,35,296,116,464,120
1594485002.4203563,35,300,117,471,121
1594485002.4953358,36,306,120,481,122
1594485002.5693963,36,308,121,484,123
1594485002.642387,37,316,124,497,124
1594485002.7154174,38,320,125,503,125
1594485002.7903938,38,325,127,510,126
1594485002.864379,39,332,130,521,127
1594485002.9374363,40,336,131,527,128
1594485003.0113864,40,340,133,534,129
1594485003.0853162,41,348,136,547,130
1594485003.1592145,42,352,138,553,131
1594485003.2334192,42,358,140,562,132
1594485003.308359,43,365,143,574,133
1594485003.3824294,44,370,145,581,134
1594485003.455349,44,374,147,587,135
1594485003.528453,45,383,150,601,136
1594485003.6023598,46,389,153,612,137
1594485003.676407,47,395,155,620,138
1594485003.7493138,47,400,157,628,139
1594485003.8233976,48,407,160,640,140
1594485003.8975189,49,415,163,651,141
1594485003.971291,50,422,165,662,142
1594485004.0442894,50,428,168,672,143
1594485004.11936,51,434,170,681,144
1594485004.1932704,52,441,173,692,145
1594485004.2663274,53,448,176,704,146
1594485004.3393853,54,457,179,718,147
1594485004.4143436,55,465,182,730,148
1594485004.4881513,56,472,185,741,149
1594485004.561364,57,479,188,752,150
1594485004.635425,57,487,191,764,151
1594485004.7090437,58,493,193,775,152
1594485004.783344,59,502,197,789,153
1594485004.8574653,60,510,200,801,154
1594485004.9314885,61,518,203,814,155
1594485005.0053208,62,527,207,828,156
1594485005.0793362,63,536,210,841,157
1594485005.1523414,64,543,213,853,158
1594485005.2263541,65,553,217,869,159
1594485005.300294,66,563,221,884,160
1594485005.3737638,67,571,224,898,161
1594485005.4463446,68,580,228,911,162
1594485005.5213654,69,589,231,924,163
1594485005.5960858,70,597,234,938,164
1594485005.6690407,72,608,239,956,165
1594485005.7423236,73,619,243,972,166
1594485005.817306,74,629,247,988,167
1594485005.8913965,75,638,250,1002,168
1594485005.964341,76,647,254,1017,169
1594485006.0383623,78,658,258,1034,170
1594485006.1133873,79,670,263,1053,171
1594485006.1863635,80,680,267,1068,172
1594485006.26003,82,692,271,1087,173
1594485006.3343284,83,703,276,1104,174
1594485006.4083776,84,712,279,1118,175
1594485006.4810162,86,724,284,1138,176
1594485006.5543077,87,737,289,1158,177
1594485006.6294208,89,750,294,1177,178
1594485006.7033443,90,761,298,1195,179
1594485006.7772295,91,774,303,1216,180
1594485006.8502986,93,784,307,1231,181
1594485006.925118,94,798,313,1254,182
1594485006.9994242,96,811,318,1274,183
1594485007.0727234,97,824,323,1295,184
1594485007.1460829,99,838,328,1316,185
1594485007.220307,100,849,333,1333,186
1594485007.293298,102,864,339,1357,187
1594485007.366357,104,879,345,1381,188
