,r,g,b,c,dmx_ch_1
1594485026.8578553,23,389,1657,2103,182
1594485026.931562,23,395,1684,2138,183
1594485027.0051973,24,401,1708,2169,184
1594485027.078858,24,408,1737,2206,185
1594485027.153203,25,414,1766,2242,186
1594485027.2261546,25,421,1794,2278,187
1594485027.300221,25,429,1826,2319,188
1594485027.3742185,26,434,1850,2350,189
1594485027.4481716,26,441,1880,2387,190
1594485027.5200093,27,450,1917,2434,191
1594485027.5951412,27,457,1946,2471,192
1594485027.669088,28,464,1976,2509,193
1594485027.7425323,28,471,2007,2548,194
1594485027.8152702,28,478,2038,2587,195
1594485027.8901205,29,487,2073,2632,196
1594485027.9639375,29,495,2110,2679,197
1594485028.0381556,30,504,2144,2722,198
1594485028.111113,30,512,2178,2766,199
1594485028.1851745,31,520,2214,2811,200
1594485028.2592213,31,528,2247,2853,201
1594485028.3310533,32,536,2282,2898,202
1594485028.4051404,32,545,2319,2946,203
1594485028.4800174,33,554,2356,2992,204
1594485028.555179,33,563,2395,3041,205
1594485028.62815,34,572,2435,3093,206
1594485028.7021716,35,581,2474,3142,207
1594485028.7762077,35,590,2510,3188,208
1594485028.848797,36,600,2553,3242,209
1594485028.9221852,36,611,2597,3298,210
1594485028.9970858,37,620,2635,3347,211
1594485029.0711288,37,630,2680,3403,212
1594485029.1441803,38,639,2718,3453,213
1594485029.218188,39,651,2766,3513,214
1594485029.2920334,39,661,2809,3568,215
1594485029.366141,40,672,2857,3629,216
1594485029.4391582,41,683,2903,3687,217
1594485029.5128307,41,693,2945,3741,218
1594485029.5871131,42,705,2993,3802,219
1594485029.660533,43,717,3044,3867,220
1594485029.734131,43,729,3095,3932,221
1594485029.8081632,44,740,3144,3994,222
1594485029.8830779,45,752,3193,4057,223
1594485029.9559672,45,764,3242,4119,224
1594485030.031194,46,776,3295,4186,225
1594485030.1051617,47,789,3348,4254,226
1594485030.18025,48,802,3403,4324,227
1594485030.2531052,48,815,3459,4394,228
1594485030.3270748,49,828,3512,4461,229
1594485030.401101,50,841,3568,4533,230
1594485030.475118,51,855,3627,4608,231
1594485030.5471413,52,868,3681,4678,232
1594485030.6221411,52,883,3744,4758,233
1594485030.6961334,53,897,3802,4831,234
1594485030.7694895,54,912,3865,4911,235
1594485030.8421156,55,927,3925,4987,236
1594485030.9161267,56,941,3986,5065,237
1594485030.9910004,57,957,4053,5150,238
1594485031.06415,58,973,4119,5235,239
1594485031.1381326,59,989,4186,5320,240
1594485031.2121184,60,1004,4250,5401,241
1594485031.2872102,61,1021,4318,5488,242
1594485031.359294,62,1037,4388,5577,243
1594485031.433099,63,1054,4457,5665,244
1594485031.5071583,64,1071,4527,5754,245
1594485031.5810747,65,1088,4598,5844,246
1594485031.6540797,66,1106,4674,5942,247
1594485031.7279923,67,1123,4744,6031,248
1594485031.8032613,68,1142,4824,6132,249
1594485031.8765187,69,1160,4897,6226,250
1594485031.9500694,70,1179,4977,6327,251
1594485032.0243034,71,1198,5058,6431,252
1594485032.0981054,72,1217,5137,6531,253
1594485032.1701784,73,1237,5218,6635,254
1594485032.2441432,75,1258,5307,6747,255
