,r,g,b,c,dmx_ch_1
1594484987.7365005,1336,66,124,1437,192
1594484987.8104544,1355,67,126,1458,193
1594484987.884241,1377,68,128,1482,194
1594484987.958392,1400,69,130,1506,195
1594484988.0325098,1422,70,132,1529,196
1594484988.1061325,1443,71,134,1552,197
1594484988.1792192,1464,72,136,1575,198
1594484988.2531466,1489,73,138,1601,199
1594484988.3274012,1515,75,140,1629,200
1594484988.401532,1539,76,143,1656,201
1594484988.4744947,1561,77,145,1679,202
1594484988.548481,1590,78,147,1710,203
1594484988.6225328,1612,80,149,1734,204
1594484988.69546,1637,81,152,1761,205
1594484988.7695541,1666,82,154,1792,206
1594484988.8434572,1691,83,157,1819,207
1594484988.917502,1720,85,159,1849,208
1594484988.989517,1746,86,162,1877,209
1594484989.063691,1771,87,164,1905,210
1594484989.1376176,1803,89,167,1939,211
1594484989.2101383,1831,90,170,1969,212
1594484989.284343,1858,92,172,1998,213
1594484989.3584435,1889,93,175,2031,214
1594484989.4325366,1919,95,178,2064,215
1594484989.5056186,1951,96,181,2098,216
1594484989.5794857,1983,98,184,2132,217
1594484989.6534355,2014,99,187,2166,218
1594484989.727597,2046,101,190,2200,219
1594484989.799495,2076,102,193,2233,220
1594484989.8735344,2108,104,196,2267,221
1594484989.9474685,2140,106,199,2301,222
1594484990.0202599,2177,107,202,2341,223
1594484990.0944028,2214,109,206,2380,224
1594484990.169396,2244,111,208,2413,225
1594484990.2434645,2281,112,212,2453,226
1594484990.317256,2317,114,215,2491,227
1594484990.391568,2354,116,219,2531,228
1594484990.4655156,2391,118,222,2570,229
1594484990.5393126,2432,120,226,2615,230
1594484990.6115034,2466,122,229,2651,231
1594484990.6854076,2503,123,233,2691,232
1594484990.7603776,2545,125,237,2736,233
1594484990.834408,2586,127,241,2780,234
1594484990.907487,2628,130,245,2826,235
1594484990.9812083,2669,132,248,2869,236
1594484991.0555422,2709,134,252,2913,237
1594484991.1284614,2751,136,256,2957,238
1594484991.202465,2793,138,260,3003,239
1594484991.2764423,2840,140,264,3053,240
1594484991.351463,2885,142,269,3102,241
1594484991.4233308,2927,144,273,3147,242
1594484991.498441,2976,147,277,3200,243
1594484991.5725667,3020,149,281,3246,244
1594484991.6464343,3068,151,286,3298,245
1594484991.718482,3119,154,291,3352,246
1594484991.7933896,3166,156,295,3403,247
1594484991.867446,3214,158,300,3454,248
1594484991.9408724,3263,161,304,3507,249
1594484992.0144327,3315,163,309,3563,250
1594484992.0882306,3368,166,314,3620,251
1594484992.162458,3421,169,319,3677,252
1594484992.2344904,3471,171,324,3730,253
1594484992.3081574,3527,174,329,3790,254
1594484992.3820963,3579,176,334,3846,255
